id,begin_idx,end_idx,notes
sub1_modelvf_a_n_2,46,476,"pre-start wobble,  end wobble"
sub1_modelvf_a_n_3,9,348,
sub1_modelvf_a_n_4,32,419,tilt
sub1_modelvf_a_n_5,18,548,tilt & wobble
sub1_modelvf_b_n_1,31,552,tilt
sub1_modelvf_b_n_2,43,451,
sub1_modelvf_b_n_3,24,468,
sub1_modelvf_b_n_4,22,405,
sub1_modelvf_b_n_5,13,330,
sub1_modelvf_c_n_1,15,268,
sub1_modelvf_c_n_2,8,224,
sub1_modelvf_c_n_3,18,345,
sub1_modelvf_c_n_4,13,320,
sub1_modelvf_c_n_5,3,254,
sub1_modelvf_d_n_1,7,116,
sub1_modelvf_d_n_2,17,51,
sub1_modelvf_d_n_3,20,61,
sub1_modelvf_d_n_4,16,52,
sub1_modelvf_d_n_5,3,30,
sub1_modelvf_e_n_1,27,319,wobble
sub1_modelvf_e_n_2,0,5,
sub1_modelvf_e_n_3,3,8,camera shook
sub1_modelvf_e_n_4,9,18,
sub1_modelvf_e_n_5,0,9,
sub1_modelvf_f_n_1,27,215,slip
sub1_modelvf_f_n_2,50,159,
sub1_modelvf_f_n_3,6,70,
sub1_modelvf_f_n_4,8,60,
sub1_modelvf_f_n_5,11,60,
sub1_modelvf_g_n_1,18,680,
sub1_modelvf_g_n_2,43,335,
sub1_modelvf_g_n_3,42,355,
sub1_modelvf_g_n_4,15,330,
sub1_modelvf_g_n_5,6,402,
sub1_modelvf_h_n_1,28,586,wobble
sub1_modelvf_h_n_2,10,380,
sub1_modelvf_h_n_3,22,390,
sub1_modelvf_h_n_4,26,535,
sub1_modelvf_h_n_5,24,400,
sub2_basic_a_n_1,51,56,no movement
sub2_basic_a_n_2,72,85,jiggle
sub2_basic_a_n_3,83,88,no movement
sub2_basic_a_n_4,76,81,no movement
sub2_basic_a_n_5,78,83,no movement
sub2_basic_b_n_1,83,88,no movement
sub2_basic_b_n_2,89,94,no movement
sub2_basic_b_n_3,102,107,no movement
sub2_basic_b_n_4,73,78,no movement
sub2_basic_b_n_5,101,106,no movement
sub2_basic_c_n_1,63,183,no movement
sub2_basic_c_n_2,88,228,no movement
sub2_basic_c_n_3,60,228,no movement
sub2_basic_c_n_4,73,233,no movement
sub2_basic_c_n_5,61,283,"no movement, wobble"
sub2_basic_d_n_1,85,90,no movement
sub2_basic_d_n_2,100,110,slight jiggle
sub2_basic_d_n_3,106,111,no movement
sub2_basic_d_n_4,58,63,no movement
sub2_basic_d_n_5,140,145,no movement
sub2_basic_e_n_1,83,88,no movement
sub2_basic_e_n_2,81,86,no movement
sub2_basic_e_n_3,82,87,no movement
sub2_basic_e_n_4,86,91,no movement
sub2_basic_e_n_5,109,114,no movement
sub2_basic_f_n_1,70,75,no movement
sub2_basic_f_n_2,74,79,no movement
sub2_basic_f_n_3,97,102,no movement
sub2_basic_f_n_4,87,95,slight jiggle
sub2_basic_f_n_5,69,74,no movement
sub2_basic_g_n_1,72,240,wobble
sub2_basic_g_n_2,76,222,wobble
sub2_basic_g_n_3,79,260,
sub2_basic_g_n_4,64,156,
sub2_basic_g_n_5,66,226,
sub2_basic_h_n_1,92,97,no movement
sub2_basic_h_n_2,90,95,no movement
sub2_basic_h_n_3,61,66,no movement
sub2_basic_h_n_4,54,59,no movement
sub2_basic_h_n_5,49,54,no movement
sub2_m2stiff_a_n_1,67,212,wobble
sub2_m2stiff_a_n_2,34,140,wobble
sub2_m2stiff_a_n_3,41,136,wobble
sub2_m2stiff_a_n_4,29,109,wobble
sub2_m2stiff_a_n_5,29,240,
sub2_m2stiff_b_n_1,55,60,no movement
sub2_m2stiff_b_n_2,66,71,no movement
sub2_m2stiff_b_n_3,64,90,slight jiggle
sub2_m2stiff_b_n_4,49,54,
sub2_m2stiff_b_n_5,63,68,
sub2_m2stiff_c_n_1,94,150,slight jiggle
sub2_m2stiff_c_n_2,74,79,no movement
sub2_m2stiff_c_n_3,83,88,no movement
sub2_m2stiff_c_n_4,52,57,no movement
sub2_m2stiff_c_n_5,33,50,slight jiggle
sub2_m2stiff_d_n_1,96,101,no movement 
sub2_m2stiff_d_n_2,48,60,slight jiggle
sub2_m2stiff_d_n_3,70,75,no movement
sub2_m2stiff_d_n_4,49,54,no movement
sub2_m2stiff_d_n_5,54,100,slight jiggle
sub2_m2stiff_e_n_1,14,86,wobble
sub2_m2stiff_e_n_2,44,335,wobble
sub2_m2stiff_e_n_3,30,130,
sub2_m2stiff_e_n_4,18,138,wobble
sub2_m2stiff_e_n_5,47,258,wobble
sub2_m2stiff_f_n_1,61,66,no movement
sub2_m2stiff_f_n_2,50,55,no movement
